DV;Label;beta_esp;se_esp;p_esp;AME_cd_cat0;AME_cd_cat1;AME_cd_cat2;delta_Y_cd;AME_ec_cat0;AME_ec_cat1;AME_ec_cat2;delta_Y_ec
privatização_estatais_benéfica;Privatização de estatais é benéfica;2.091;0.271;0.0;-0.24;-0.204;0.443;0.683;-0.462;0.304;0.158;0.62
governo_atual_sabe;Governo atual sabe administrar a economia;-1.999;0.293;0.0;0.289;-0.225;-0.064;-0.353;0.41;-0.145;-0.265;-0.675
governo_regulamenta_negócios;Governo regulamenta negócios demais;1.842;0.25;0.0;-0.152;-0.225;0.377;0.529;-0.359;0.184;0.176;0.535
mulheres_força_trabalho;Mulheres na força de trabalho causa desemprego;-1.427;0.246;0.0;0.05;0.252;-0.302;-0.352;0.013;0.234;-0.247;-0.26
lucros_empresariais_ocorrem;Lucros empresariais à custa dos trabalhadores;-1.264;0.198;0.0;0.293;-0.075;-0.218;-0.511;0.195;0.101;-0.295;-0.49
brasil_deveria_adotar;Brasil deveria adotar livre-comércio amplo;1.145;0.202;0.0;-0.034;-0.22;0.254;0.288;-0.091;-0.142;0.233;0.323
governo_deve_intervir;Governo deve intervir nos preços;-1.079;0.188;0.0;0.235;-0.141;-0.093;-0.328;0.221;-0.042;-0.179;-0.4
indústria_nacional_deve;Indústria nacional deve ser protegida;-1.048;0.185;0.0;0.18;0.019;-0.199;-0.38;0.098;0.138;-0.236;-0.334
altos_executivos_ganham;Executivos ganham mais do que merecem;-1.075;0.187;0.0;0.235;-0.126;-0.108;-0.343;0.211;-0.018;-0.193;-0.404
déficit_federal_grande;O déficit federal é grande demais;1.092;0.198;0.0;-0.049;-0.186;0.235;0.284;-0.115;-0.12;0.234;0.349
